Gene,RNA tissue specific nTPM,liver_nTPM_value,Tissue expression cluster,RNA tissue cell type enrichment,has_liver_nTPM,has_liver_cluster,has_liver_enrichment,Classification
PLCB2,bone marrow: 51.9;lymphoid tissue: 39.7,,Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response,"Adrenal gland - Macrophages, Breast - T-cells, Kidney - T-cells, Prostate - T-cells, Thyroid gland - T-cells",False,False,False,non-liver protein
REEP5,,,Cluster 26: Adrenal gland - Steroid metabolism,"Adrenal gland - Adrenal cortex cells, Liver - Hepatocytes, Thyroid gland - Thyroid glandular cells",False,False,True,liver protein_3
SORD,cervix: 164.8;liver: 262.8,262.8,Cluster 1: Liver & Kidney - Metabolism,"Breast - Breast glandular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Pituitary gland - Thyrotropes, Prostate - Prostate glandular cells, Testis - Sertoli cells, Thyroid gland - Thyroid glandular cells",True,True,True,liver protein (all 3)
HNRNPU,,,Cluster 40: Non-specific - Transcription,"Testis - Spermatocytes, Testis - Spermatogonia",False,False,False,non-liver protein
IRF9,,,Cluster 47: Spleen - Immune response,,False,False,False,non-liver protein
PLIN5,liver: 197.2;skeletal muscle: 143.9,197.2,Cluster 68: Non-specific - Protein processing,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Lung - Alveolar cells type 2, Minor Salivary Gland - Minor salivary glandular cells, Skin - Sebaceous gland cells, Spleen - Neutrophils",True,False,False,liver protein_1
U2AF1,,,Cluster 16: Non-specific - Transcription,Kidney - Endothelial cells,False,False,False,non-liver protein
SPTBN1,,,Cluster 34: Non-specific - Mixed function,Thyroid gland - Fibroblasts,False,False,False,non-liver protein
TIAL1,,,Cluster 19: Non-specific - Basic cellular processes,,False,False,False,non-liver protein
SET,,,Cluster 71: Thymus - Adaptive immune response,,False,False,False,non-liver protein
SRSF2,,,Cluster 16: Non-specific - Transcription,,False,False,False,non-liver protein
GALK2,,,Cluster 55: Kidney & Intestine - Metabolism,"Adrenal gland - Adrenal cortex cells, Liver - Hepatocytes, Thyroid gland - Thyroid glandular cells",False,False,True,liver protein_3
AMPD2,choroid plexus: 51.4,,Cluster 60: Choroid plexus - Transmembrane transport,,False,False,False,non-liver protein
CTBS,,,Cluster 53: Non-specific - Glycosylation,"Adrenal gland - Adrenal cortex cells, Liver - Hepatocytes",False,False,True,liver protein_3
FABP5,choroid plexus: 1805.2;esophagus: 3587.3;vagina: 2521.7,,Cluster 29: Squamous epithelium - Innate immune response,Spleen - Macrophages,False,False,False,non-liver protein
ANK2,brain: 116.1;retina: 123.5;skeletal muscle: 123.8,,Cluster 3: Non-specific - Unknown function,"Adipose subcutaneous - Adipose progenitor cells, Colon - Enteric glia cells, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Minor Salivary Gland - Fibroblasts, Prostate - Fibroblasts, Skin - Fibroblast_2, Spleen - Fibroblast_1, Testis - Early spermatids, Thyroid gland - Fibroblasts",False,False,True,liver protein_3
CAP1,,,Cluster 29: Squamous epithelium - Innate immune response,Lung - Neutrophil_2,False,False,False,non-liver protein
HMGCS1,liver: 379.0,379.0,Cluster 37: Liver & Intestine - Lipid metabolism,"Adrenal gland - Adrenal cortex cells, Lung - Alveolar cells type 2",True,True,False,liver protein (nTPM + cluster)
DR1,,,Cluster 4: Testis - Basic cellular processes,"Skin - Keratinocyte (other), Testis - Early spermatids",False,False,False,non-liver protein
FMO1,kidney: 191.8,,Cluster 52: Kidney - Transmembrane transport,"Kidney - Proximal tubular cells, Lung - Fibroblast_2, Pituitary gland - Fibroblasts, Skeletal muscle - Fibroblasts, Thyroid gland - Fibroblasts",False,False,False,non-liver protein
EXOSC10,,,Cluster 16: Non-specific - Transcription,,False,False,False,non-liver protein
OTUD4,,,Cluster 4: Testis - Basic cellular processes,Testis - Early spermatids,False,False,False,non-liver protein
PFKP,retina: 261.4,,Cluster 39: Retina & Testis - Cilium,"Breast - Smooth muscle cells, Prostate - Smooth muscle cells, Testis - Early spermatids, Testis - Late spermatids",False,False,False,non-liver protein
ATP2B2,brain: 63.5;choroid plexus: 62.8;salivary gland: 32.2;skeletal muscle: 36.1,,Cluster 22: Brain - Synaptic signal transduction,"Minor Salivary Gland - Minor salivary glandular cells, Pituitary gland - Corticotropes, Skeletal muscle - Skeletal myocytes, Testis - Early spermatids",False,False,False,non-liver protein
XPC,,,Cluster 16: Non-specific - Transcription,"Adrenal gland - Adrenal cortex cells, Testis - Spermatogonia",False,False,False,non-liver protein
EWSR1,,,Cluster 4: Testis - Basic cellular processes,Testis - Spermatocytes,False,False,False,non-liver protein
CDR2,,,Cluster 39: Retina & Testis - Cilium,"Breast - Smooth muscle cells, Heart muscle - Fibroblasts, Prostate - Smooth muscle cells, Testis - Early spermatids",False,False,False,non-liver protein
PLCB3,intestine: 110.6,,Cluster 45: Intestine - Digestion,,False,False,False,non-liver protein
TAGLN,endometrium 1: 9302.4;intestine: 11317.0,,Cluster 41: Smooth muscle tissue - ECM organization,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Breast - Smooth muscle cells, Colon - Smooth muscle cells, Lung - Smooth muscle cells, Minor Salivary Gland - Smooth muscle cells, Prostate - Smooth muscle cells, Skeletal muscle - Smooth muscle cells, Thyroid gland - Smooth muscle cells",False,False,False,non-liver protein
AKAP17A,,,Cluster 47: Spleen - Immune response,,False,False,False,non-liver protein
NAAA,,,Cluster 37: Liver & Intestine - Lipid metabolism,"Prostate - Prostate glandular cells, Spleen - Macrophages, Thyroid gland - Fibroblasts",False,True,False,liver protein_2
GUCY1A1,,,Cluster 7: Adipose tissue - Mixed function,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Endothelial cells, Adrenal gland - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Pituitary gland - Fibroblasts, Spleen - Fibroblast_1, Thyroid gland - Fibroblasts",False,False,True,liver protein_3
DHODH,liver: 103.2,103.2,Cluster 83: Liver - Metabolism,,True,True,False,liver protein (nTPM + cluster)
GUCY1B1,,,Cluster 61: Brain - Neuronal signaling,"Liver - Hepatic stellate cells, Thyroid gland - Fibroblasts",False,False,True,liver protein_3
OGDH,heart muscle: 313.4;skeletal muscle: 350.8;tongue: 360.2,,Cluster 23: Non-specific - Cellular respiration,"Adipose visceral - Adipocytes (Visceral), Adrenal gland - Adrenal cortex cells, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
ALDH6A1,kidney: 365.2;liver: 355.6,355.6,Cluster 1: Liver & Kidney - Metabolism,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Adrenal gland - Adrenal cortex cells, Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Liver - Hepatocytes, Minor Salivary Gland - Minor salivary glandular cells, Spleen - Fibroblast_2, Testis - Sertoli cells",True,True,True,liver protein (all 3)
CYP27A1,choroid plexus: 199.0;liver: 576.0,576.0,Cluster 83: Liver - Metabolism,"Heart muscle - Fibroblasts, Liver - Hepatocytes, Lung - Macrophages",True,True,True,liver protein (all 3)
BDH1,liver: 313.1,313.1,Cluster 83: Liver - Metabolism,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Prostate - Prostate glandular cells, Skeletal muscle - Skeletal myocytes, Spleen - B-cells (Spleen)",True,True,True,liver protein (all 3)
APBA1,brain: 36.8,,Cluster 61: Brain - Neuronal signaling,Liver - Hepatocytes,False,False,True,liver protein_3
DSG1,skin 1: 549.7,,Cluster 13: Skin - Cornification,"Liver - Hepatocytes, Minor Salivary Gland - Minor salivary gland basal cells, Skin - Keratinocyte (other), Testis - Early spermatids",False,False,True,liver protein_3
SP3,,,Cluster 16: Non-specific - Transcription,Thyroid gland - Thyroid glandular cells,False,False,False,non-liver protein
DSC2,esophagus: 165.7;vagina: 94.4,,Cluster 75: Epithelium - Extracellular exosomes,"Prostate - Prostate glandular cells, Skin - Outer root sheath cells, Stomach - Gastric mucous cells",False,False,False,non-liver protein
H1-1,,,,,False,False,False,non-liver protein
RPL18A,,,Cluster 18: Non-specific - Ribosome,Spleen - B-cells (Spleen),False,False,False,non-liver protein
MAP2K1,,,Cluster 61: Brain - Neuronal signaling,Testis - Spermatogonia,False,False,False,non-liver protein
TEK,placenta: 44.7,,Cluster 7: Adipose tissue - Mixed function,"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Adrenal gland - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Liver - Sinusoid Endothelial cells, Lung - Endothelial cells, Minor Salivary Gland - Endothelial cells, Pituitary gland - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Stomach - Endothelial cells, Testis - Endothelial cells, Thyroid gland - Endothelial cells",False,False,True,liver protein_3
FKBP4,,,Cluster 78: Testis - Transcription,Testis - Early spermatids,False,False,False,non-liver protein
PLOD1,,,Cluster 62: Connective tissue - ECM organization,Spleen - Fibroblast_1,False,False,False,non-liver protein
NUCB1,,,Cluster 1: Liver & Kidney - Metabolism,"Adipose subcutaneous - Macrophages, Skin - Fibroblast_2",False,True,False,liver protein_2
RPL6,,,Cluster 18: Non-specific - Ribosome,,False,False,False,non-liver protein
TOP2B,,,Cluster 16: Non-specific - Transcription,Thyroid gland - Thyroid glandular cells,False,False,False,non-liver protein
CYP4A11,kidney: 209.6;liver: 824.3,824.3,Cluster 1: Liver & Kidney - Metabolism,"Kidney - Proximal tubular cells, Liver - Hepatocytes",True,True,True,liver protein (all 3)
AKAP12,,,Cluster 64: Neuronal - Transcription,Testis - Early spermatids,False,False,False,non-liver protein
SLC25A11,heart muscle: 225.5;skeletal muscle: 303.6;tongue: 432.1,,Cluster 23: Non-specific - Cellular respiration,Heart muscle - Cardiomyocytes,False,False,False,non-liver protein
CFHR3,liver: 381.0,381.0,Cluster 31: Liver - Plasma proteins,,True,True,False,liver protein (nTPM + cluster)
DST,,,Cluster 34: Non-specific - Mixed function,"Adipose subcutaneous - Smooth muscle cells, Breast - Breast myoepithelial cells, Lung - Fibroblast_1, Minor Salivary Gland - Minor salivary glandular cells, Spleen - Endothelial cells, Thyroid gland - Fibroblasts",False,False,False,non-liver protein
GSTM4,intestine: 132.2,,Cluster 55: Kidney & Intestine - Metabolism,"Heart muscle - Cardiomyocytes, Liver - Hepatocytes",False,False,True,liver protein_3
CAV1,,,Cluster 7: Adipose tissue - Mixed function,"Colon - Smooth muscle cells, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Lung - Alveolar cells type 1, Prostate - Smooth muscle cells",False,False,True,liver protein_3
ACY1,intestine: 176.3;kidney: 434.0;liver: 266.7,266.7,Cluster 55: Kidney & Intestine - Metabolism,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Sebaceous gland cells, Thyroid gland - Thyroid glandular cells",True,False,True,liver protein (nTPM + enrichment)
TNFAIP2,urinary bladder: 267.6,,Cluster 7: Adipose tissue - Mixed function,,False,False,False,non-liver protein
LMNB2,,,Cluster 29: Squamous epithelium - Innate immune response,"Testis - Early spermatids, Testis - Late spermatids",False,False,False,non-liver protein
PTS,,,Cluster 1: Liver & Kidney - Metabolism,Adrenal gland - Adrenal cortex cells,False,True,False,liver protein_2
MVK,liver: 56.7,56.7,Cluster 37: Liver & Intestine - Lipid metabolism,"Adrenal gland - Adrenal cortex cells, Minor Salivary Gland - Minor salivary gland basal cells, Pituitary gland - Corticotropes, Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids",True,True,False,liver protein (nTPM + cluster)
TAP1,,,Cluster 47: Spleen - Immune response,"Heart muscle - Endothelial cells, Skin - Keratinocyte (other), Thyroid gland - T-cells",False,False,False,non-liver protein
TAP2,,,Cluster 47: Spleen - Immune response,"Heart muscle - Endothelial cells, Thyroid gland - T-cells",False,False,False,non-liver protein
CFHR1,liver: 2010.5,2010.5,Cluster 31: Liver - Plasma proteins,Liver - Hepatocytes,True,True,True,liver protein (all 3)
CEBPZ,,,Cluster 4: Testis - Basic cellular processes,"Testis - Early spermatids, Testis - Spermatocytes",False,False,False,non-liver protein
RELA,,,Cluster 41: Smooth muscle tissue - ECM organization,,False,False,False,non-liver protein
UBXN1,,,Cluster 2: Skeletal muscle - Striated muscle contraction,Testis - Early spermatids,False,False,False,non-liver protein
GBE1,skeletal muscle: 143.8,,Cluster 19: Non-specific - Basic cellular processes,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adrenal gland - Adrenal cortex cells, Breast - Adipocytes (Breast)",False,False,False,non-liver protein
FOLH1,intestine: 259.0;prostate: 73.4,,Cluster 25: Small intestine - Absorption,"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Fibroblast_1, Minor Salivary Gland - Minor salivary glandular cells, Pancreas - Fibroblasts, Prostate - Prostate glandular cells, Stomach - Fibroblasts, Thyroid gland - Fibroblasts",False,False,True,liver protein_3
EIF4G1,skeletal muscle: 335.9,,Cluster 19: Non-specific - Basic cellular processes,Skin - Keratinocyte (other),False,False,False,non-liver protein
KRT17,breast: 369.5;skin 1: 920.0;urinary bladder: 610.3,,Cluster 13: Skin - Cornification,"Breast - Breast myoepithelial cells, Lung - Respiratory ciliated cells, Skin - Outer root sheath cells",False,False,False,non-liver protein
NOTCH2,,,Cluster 62: Connective tissue - ECM organization,,False,False,False,non-liver protein
TLE4,testis: 98.1,,Cluster 4: Testis - Basic cellular processes,"Breast - Breast myoepithelial cells, Pituitary gland - Lactotropes, Prostate - Fibroblasts, Testis - Early spermatids, Testis - Late spermatids",False,False,False,non-liver protein
HGFAC,liver: 211.9,211.9,Cluster 31: Liver - Plasma proteins,,True,True,False,liver protein (nTPM + cluster)
GLO1,,,Cluster 3: Non-specific - Unknown function,"Adrenal gland - Adrenal cortex cells, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
AKR1C1,liver: 603.1,603.1,Cluster 83: Liver - Metabolism,"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast)",True,True,False,liver protein (nTPM + cluster)
SSBP1,,,Cluster 35: Non-specific - Mitochondria,Testis - Early spermatids,False,False,False,non-liver protein
REL,bone marrow: 36.9,,Cluster 40: Non-specific - Transcription,,False,False,False,non-liver protein
YWHAH,brain: 714.3,,Cluster 61: Brain - Neuronal signaling,Colon - Smooth muscle cells,False,False,False,non-liver protein
PLP2,,,Cluster 27: Squamous epithelium - Keratinization,"Skin - Keratinocyte (other), Spleen - Neutrophils",False,False,False,non-liver protein
CSTF1,,,Cluster 16: Non-specific - Transcription,Testis - Early spermatids,False,False,False,non-liver protein
UBE3A,,,Cluster 19: Non-specific - Basic cellular processes,"Adrenal gland - Adrenal cortex cells, Testis - Spermatocytes, Testis - Spermatogonia, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
DNM1,brain: 366.1,,Cluster 22: Brain - Synaptic signal transduction,"Adipose subcutaneous - Adipose progenitor cells, Breast - Fibroblasts, Heart muscle - Fibroblasts, Lung - Fibroblast_2, Thyroid gland - Fibroblasts",False,False,False,non-liver protein
PTPN12,,,Cluster 7: Adipose tissue - Mixed function,"Adipose visceral - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Lung - Endothelial cells, Skeletal muscle - Endothelial cells",False,False,False,non-liver protein
CLC,bone marrow: 447.0,,Cluster 6: Bone marrow - Innate immune response,Spleen - Hematopoietic stem cells,False,False,False,non-liver protein
PTK2,,,Cluster 34: Non-specific - Mixed function,"Adrenal gland - Adrenal cortex cells, Skin - Endothelial cells, Spleen - Endothelial cells, Stomach - Endothelial cells",False,False,False,non-liver protein
SRSF11,,,Cluster 66: Non-specific - Transcription,,False,False,False,non-liver protein
EEF1A2,skeletal muscle: 1680.8,,Cluster 79: Non-specific - Transcription,"Adipose visceral - Mesothelial cells, Breast - Breast glandular cells, Colon - Colon enteroendocrine cells, Heart muscle - Cardiomyocytes, Stomach - Gastric mucous cells",False,False,False,non-liver protein
CALD1,intestine: 885.1,,Cluster 41: Smooth muscle tissue - ECM organization,"Adipose subcutaneous - Smooth muscle cells, Adrenal gland - Fibroblasts, Colon - Smooth muscle cells, Kidney - Fibroblasts, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Spleen - Fibroblast_2",False,False,False,non-liver protein
COL14A1,cervix: 146.5,,Cluster 62: Connective tissue - ECM organization,"Adipose visceral - Adipose progenitor cells, Adrenal gland - Fibroblasts, Breast - Fibroblasts, Colon - Fibroblasts, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Minor Salivary Gland - Fibroblasts, Prostate - Fibroblasts, Skin - Fibroblast_1, Spleen - Fibroblast_1, Stomach - Fibroblasts, Thyroid gland - Fibroblasts",False,False,True,liver protein_3
ITIH3,liver: 828.4,828.4,Cluster 31: Liver - Plasma proteins,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Heart muscle - Smooth muscle cells, Lung - Smooth muscle cells, Skeletal muscle - Smooth muscle cells, Testis - Late spermatids, Thyroid gland - Smooth muscle cells",True,True,False,liver protein (nTPM + cluster)
PTPN11,,,Cluster 9: Oligodendrocytes - Myelination,Adrenal gland - Adrenal cortex cells,False,False,False,non-liver protein
KDSR,,,Cluster 34: Non-specific - Mixed function,,False,False,False,non-liver protein
PPAT,,,Cluster 16: Non-specific - Transcription,,False,False,False,non-liver protein
GFPT1,,,Cluster 45: Intestine - Digestion,"Minor Salivary Gland - Minor salivary glandular cells, Testis - Early spermatids, Testis - Spermatocytes",False,False,False,non-liver protein
EXOSC9,,,Cluster 4: Testis - Basic cellular processes,Testis - Early spermatids,False,False,False,non-liver protein
AOX1,adrenal gland: 291.3;liver: 864.2,864.2,Cluster 83: Liver - Metabolism,"Adrenal gland - Adrenal cortex cells, Colon - Macrophages, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skeletal muscle - Macrophages, Spleen - Fibroblast_2",True,True,True,liver protein (all 3)
PSME1,,,Cluster 47: Spleen - Immune response,,False,False,False,non-liver protein
TYRO3,brain: 39.2;ovary: 45.7,,Cluster 66: Non-specific - Transcription,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Colon - Enteric glia cells, Kidney - Podocytes, Pituitary gland - Undifferentiated cells (Pituitary gland), Skin - Keratinocyte (granular)",False,False,False,non-liver protein
APLP2,,,Cluster 51: Thyroid gland - Unknown function,"Lung - Alveolar cells type 1, Spleen - Fibroblast_2, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
SULT2A1,liver: 1043.0,1043.0,Cluster 83: Liver - Metabolism,Adrenal gland - Adrenal cortex cells,True,True,False,liver protein (nTPM + cluster)
GABPA,,,Cluster 16: Non-specific - Transcription,Testis - Spermatogonia,False,False,False,non-liver protein
GABPB1,,,Cluster 77: Bone marrow - Cell proliferation,,False,False,False,non-liver protein
RING1,,,Cluster 66: Non-specific - Transcription,,False,False,False,non-liver protein
FMR1,,,Cluster 69: Liver - Oxidoreductase activity,Spleen - Endothelial cells,False,True,False,liver protein_2
FMOD,,,Cluster 62: Connective tissue - ECM organization,"Adrenal gland - Fibroblasts, Breast - Fibroblasts, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Minor Salivary Gland - Minor salivary glandular cells, Pituitary gland - Fibroblasts, Spleen - Fibroblast_1",False,False,True,liver protein_3
PRDX1,,,Cluster 54: Non-specific - Basic cellular processes,Spleen - Macrophages,False,False,False,non-liver protein
RPL18,,,Cluster 18: Non-specific - Ribosome,Spleen - B-cells (Spleen),False,False,False,non-liver protein
C1QBP,,,Cluster 35: Non-specific - Mitochondria,,False,False,False,non-liver protein
CKAP4,,,Cluster 77: Bone marrow - Cell proliferation,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells",False,False,False,non-liver protein
ENPEP,intestine: 159.0;kidney: 86.9,,Cluster 55: Kidney & Intestine - Metabolism,"Adipose subcutaneous - Endothelial cells, Adrenal gland - Fibroblasts, Breast - Endothelial cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Pituitary gland - Fibroblasts, Prostate - Fibroblasts",False,False,True,liver protein_3
TJP1,,,Cluster 34: Non-specific - Mixed function,"Adrenal gland - Fibroblasts, Breast - Endothelial cells, Pancreas - Ductal cells, Spleen - Endothelial cells",False,False,False,non-liver protein
ZFP36L1,,,Cluster 62: Connective tissue - ECM organization,Heart muscle - Fibroblasts,False,False,False,non-liver protein
DPT,intestine: 410.5,,Cluster 41: Smooth muscle tissue - ECM organization,"Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Minor Salivary Gland - Fibroblasts, Pancreas - Fibroblasts, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_2, Stomach - Fibroblasts, Thyroid gland - Fibroblasts",False,False,True,liver protein_3
KHDRBS1,,,Cluster 16: Non-specific - Transcription,"Testis - Spermatocytes, Testis - Spermatogonia, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
BAX,,,Cluster 70: Lymphoid tissue - Immune response,,False,False,False,non-liver protein
BCL2L1,,,Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response,"Minor Salivary Gland - Minor salivary glandular cells, Testis - Early spermatids, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
MCL1,bone marrow: 676.9,,Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response,,False,False,False,non-liver protein
SLC3A1,intestine: 132.3;kidney: 624.8;pancreas: 210.6,,Cluster 52: Kidney - Transmembrane transport,"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids",False,False,True,liver protein_3
KLC1,brain: 514.6,,Cluster 65: Cerebellum - Nervous system development,"Minor Salivary Gland - Endothelial cells, Spleen - Endothelial cells",False,False,False,non-liver protein
SOS2,,,Cluster 56: Non-specific - Unknown function,"Adrenal gland - Adrenal cortex cells, Stomach - Endothelial cells, Testis - Spermatocytes",False,False,False,non-liver protein
LRP1,adipose tissue: 105.5,,Cluster 62: Connective tissue - ECM organization,"Adrenal gland - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatocytes, Lung - Fibroblast_2, Prostate - Fibroblasts",False,False,True,liver protein_3
SRSF1,,,Cluster 16: Non-specific - Transcription,,False,False,False,non-liver protein
ARHGAP1,,,Cluster 41: Smooth muscle tissue - ECM organization,"Breast - Fibroblasts, Prostate - Smooth muscle cells, Spleen - Fibroblast_1",False,False,False,non-liver protein
TLE5,,,Cluster 79: Non-specific - Transcription,Heart muscle - Cardiomyocytes,False,False,False,non-liver protein
SRSF4,,,Cluster 66: Non-specific - Transcription,,False,False,False,non-liver protein
PCDH1,,,Cluster 75: Epithelium - Extracellular exosomes,"Skeletal muscle - Endothelial cells, Stomach - Gastric mucous cells, Testis - Endothelial cells",False,False,False,non-liver protein
TGM3,esophagus: 1786.5,,Cluster 29: Squamous epithelium - Innate immune response,"Lung - Respiratory ciliated cells, Testis - Early spermatids",False,False,False,non-liver protein
PPP3CA,brain: 160.1,,Cluster 22: Brain - Synaptic signal transduction,"Adrenal gland - Adrenal cortex cells, Prostate - Prostate glandular cells",False,False,False,non-liver protein
DHX9,,,Cluster 40: Non-specific - Transcription,"Testis - Spermatocytes, Testis - Spermatogonia",False,False,False,non-liver protein
CRYZ,kidney: 319.0;liver: 274.1,274.1,Cluster 1: Liver & Kidney - Metabolism,"Liver - Hepatocytes, Thyroid gland - Thyroid glandular cells",True,True,True,liver protein (all 3)
IL10RB,,,Cluster 45: Intestine - Digestion,Adipose subcutaneous - Macrophages,False,False,False,non-liver protein
SLC20A2,choroid plexus: 150.4;skeletal muscle: 126.6,,Cluster 14: Skeletal muscle - Muscle contraction,"Adipose subcutaneous - Smooth muscle cells, Colon - Smooth muscle cells, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Testis - Sertoli cells, Thyroid gland - Thyroid glandular cells",False,False,True,liver protein_3
GOLGA3,,,Cluster 40: Non-specific - Transcription,,False,False,False,non-liver protein
GOLGA2,,,Cluster 18: Non-specific - Ribosome,"Adipose visceral - Adipose progenitor cells, Pituitary gland - Somatotropes",False,False,False,non-liver protein
LGALS3BP,,,Cluster 48: Stomach - Proteolysis,"Adrenal gland - Adrenal cortex cells, Heart muscle - Cardiomyocytes, Kidney - Fibroblasts, Minor Salivary Gland - Minor salivary glandular cells, Pituitary gland - Thyrotropes, Skeletal muscle - Fibroblasts, Spleen - Fibroblast_1",False,False,False,non-liver protein
EHHADH,kidney: 139.2;liver: 334.1,334.1,Cluster 1: Liver & Kidney - Metabolism,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Thyroid gland - Thyroid glandular cells",True,True,True,liver protein (all 3)
MFGE8,,,Cluster 41: Smooth muscle tissue - ECM organization,"Adrenal gland - Fibroblasts, Kidney - Fibroblasts, Spleen - Fibroblast_2, Thyroid gland - Smooth muscle cells",False,False,False,non-liver protein
CYP4F3,bone marrow: 79.4;liver: 230.0,230.0,Cluster 83: Liver - Metabolism,"Adipose visceral - Neutrophils, Heart muscle - Neutrophils, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Minor Salivary Gland - Minor salivary gland basal cells, Prostate - Urothelial cells, Stomach - Gastric mucous cells, Thyroid gland - Neutrophils",True,True,True,liver protein (all 3)
DMTN,brain: 330.7,,Cluster 61: Brain - Neuronal signaling,"Adipose subcutaneous - Adipocytes (Subcutaneous), Heart muscle - Cardiomyocytes, Skin - Keratinocyte (other), Spleen - Erythrocytes, Testis - Late spermatids",False,False,False,non-liver protein
DSC1,skin 1: 222.8,,Cluster 13: Skin - Cornification,"Breast - Breast myoepithelial cells, Heart muscle - Cardiomyocytes, Skin - Keratinocyte (other)",False,False,False,non-liver protein
PUDP,,,Cluster 35: Non-specific - Mitochondria,,False,False,False,non-liver protein
CD47,,,Cluster 40: Non-specific - Transcription,Adipose subcutaneous - Adipose progenitor cells,False,False,False,non-liver protein
PPID,,,Cluster 19: Non-specific - Basic cellular processes,"Liver - Hepatocytes, Testis - Spermatocytes, Testis - Spermatogonia",False,False,True,liver protein_3
FGL1,liver: 4058.4,4058.4,Cluster 83: Liver - Metabolism,"Testis - Early spermatids, Testis - Late spermatids",True,True,False,liver protein (nTPM + cluster)
SSRP1,,,Cluster 19: Non-specific - Basic cellular processes,"Testis - Spermatocytes, Testis - Spermatogonia",False,False,False,non-liver protein
RBL2,,,Cluster 16: Non-specific - Transcription,"Adrenal gland - Adrenal cortex cells, Testis - Spermatocytes",False,False,False,non-liver protein
CAMSAP2,,,Cluster 64: Neuronal - Transcription,Spleen - Endothelial cells,False,False,False,non-liver protein
ACSM2A,kidney: 267.2;liver: 351.8,351.8,Cluster 1: Liver & Kidney - Metabolism,"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes",True,True,True,liver protein (all 3)
VAC14,,,Cluster 43: Non-specific - Mitochondrial translation,"Adipose subcutaneous - Macrophages, Lung - Macrophages, Testis - Spermatogonia",False,False,False,non-liver protein
NSUN2,,,Cluster 35: Non-specific - Mitochondria,Testis - Spermatogonia,False,False,False,non-liver protein
